param_trial_97: mean reward 22.1875, mean std_error 1.171794913443293
param_trial_98: mean reward 22.304724999999998, mean std_error 1.1515402458450021
param_trial_99: mean reward 48.21702499999999, mean std_error 9.550596493298764
param_trial_100: mean reward 36.439, mean std_error 6.949090721477058
param_trial_101: mean reward 36.8905, mean std_error 6.853160502675453
param_trial_102: mean reward 32.383975, mean std_error 6.3792898633557344
param_trial_103: mean reward 35.759425, mean std_error 6.827304768607919
param_trial_104: mean reward 35.705725, mean std_error 5.737936026188397
param_trial_105: mean reward 29.841875, mean std_error 5.16871786438298
param_trial_106: mean reward 38.090275, mean std_error 6.721033794979701
param_trial_107: mean reward 34.611525, mean std_error 6.313650140776574
param_trial_108: mean reward 22.338350000000002, mean std_error 1.1669182733427825
param_trial_109: mean reward 22.292849999999998, mean std_error 1.1602826077490533
param_trial_110: mean reward 22.327325000000002, mean std_error 1.1683257870167236
param_trial_111: mean reward 33.165275, mean std_error 6.185519687631245
param_trial_112: mean reward 37.748475, mean std_error 7.70198654305113
param_trial_113: mean reward 30.88205, mean std_error 5.478993244221385
param_trial_114: mean reward 46.102000000000004, mean std_error 8.603754258812224
param_trial_115: mean reward 38.159324999999995, mean std_error 8.152577926764225
param_trial_116: mean reward 46.98795, mean std_error 9.699908729392542
param_trial_117: mean reward 33.35195000000001, mean std_error 5.932354803658671
param_trial_118: mean reward 40.6535, mean std_error 9.447379276049672
param_trial_119: mean reward 38.153825000000005, mean std_error 7.627004848722477
param_trial_120: mean reward 22.18375, mean std_error 1.1532583402670713
param_trial_121: mean reward 22.371374999999997, mean std_error 1.1453302967696233
param_trial_122: mean reward 22.381675, mean std_error 1.183988882639281
param_trial_123: mean reward 35.256975000000004, mean std_error 4.862245425362713
param_trial_124: mean reward 34.773, mean std_error 5.714199009364346
param_trial_125: mean reward 38.7054, mean std_error 7.904490864337866
param_trial_126: mean reward 50.079775, mean std_error 11.433353754265818
param_trial_127: mean reward 35.285275, mean std_error 6.626556057197073
param_trial_128: mean reward 32.12235, mean std_error 5.5234125570687835
param_trial_129: mean reward 46.7077, mean std_error 8.629955273409376
param_trial_130: mean reward 33.9037, mean std_error 7.112481830522672
param_trial_131: mean reward 42.806599999999996, mean std_error 6.892935623205173
param_trial_132: mean reward 22.240675, mean std_error 1.1641290007700678
param_trial_133: mean reward 22.253525, mean std_error 1.1738149006027823
